"Year","Thailand","ASEAN","China"
1988,100000,46363.6363636364,300000
1989,150000,65454.5454545455,400000
1990,230000,90000,1500000
1991,300000,116363.636363636,800000
1992,450000,170545.454545455,1100000
1993,570000,215909.090909091,1400000
1994,680000,283454.545454545,2000000
1995,810000,356000,2800000
1996,1000000,458636.363636364,4500000
1997,1200000,579272.727272727,7500000
1998,1300000,668000,11200000
1999,1382000,785181.818181818,15500000
2000,1714000,926090.909090909,20600000
2001,2003000,1092181.81818182,25000000
2002,2461000,1293818.18181818,35500000
2003,3024000,1578818.18181818,50410000
2004,3716000,1982909.09090909,52990000
2005,4408000,2469727.27272727,63520000
