"Year","Thailand","ASEAN","China"
2000,3056000,2008092.54545455,85260000
2001,7550000,3479689.36363636,144820000
2002,17449890,5403460.72727273,206005000
2003,21616910,7358120.36363636,269953000
2004,26965548,10471459,334824000
2005,30460238,13435109.5454545,393406000
2006,40125470,17567102.4545455,461058000
2007,52973994,25704959.9090909,547306000
2008,61837164,35153005.8181818,641245000
2009,65952313,41021556.3636364,747214000
2010,71726300,48421496.0909091,859003000
2011,77449000,55886985.5454545,986253000
2012,85012000,61658682.3636364,1112155000
2013,93849000,63606214.5454545,1229113000
2014,97096000,70828463.7272727,1286093000
2015,84797000,71431585.2727273,1305738000
